Ejercicio|Sociedad|Fecha de documento SAP|CAR SUNAT SAP|CAR SUNAT Archivo|Mensaje|
2026|1007|01.06.2026|2053799558101F8070000001695|2053799558101F8070000001695|Registro OK.|
2026|1007|01.06.2026|2053799558101F8070000001696|2053799558101F8070000001696|Registro OK.|
2026|1007|01.06.2026|2053799558101F8070000001697|2053799558101F8070000001697|Registro OK.|
2026|1007|01.06.2026|2053799558101F8050000000889|2053799558101F8050000000889|Registro OK.|
2026|1007|01.06.2026|2053799558101F8050000000890|2053799558101F8050000000890|Registro OK.|
2026|1007|01.06.2026|2053799558101F8070000001698|2053799558101F8070000001698|Registro OK.|
2026|1007|01.06.2026|2053799558101F8070000001699|2053799558101F8070000001699|Registro OK.|
2026|1007|01.06.2026|2053799558101F8060000001979|2053799558101F8060000001979|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025132|2053799558103B8070000025132|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025133|2053799558103B8070000025133|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025134|2053799558103B8070000025134|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025135|2053799558103B8070000025135|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025136|2053799558103B8070000025136|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025137|2053799558103B8070000025137|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025138|2053799558103B8070000025138|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025139|2053799558103B8070000025139|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010131|2053799558103B8050000010131| Diferencia en monto PEN - 5.32 con respecto al archivo.|
2026|1007|01.06.2026|2053799558103B8070000025140|2053799558103B8070000025140|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025141|2053799558103B8070000025141|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025142|2053799558103B8070000025142|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025143|2053799558103B8070000025143|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010132|2053799558103B8050000010132|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025144|2053799558103B8070000025144|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010133|2053799558103B8050000010133|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010140|2053799558103B8050000010140|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025149|2053799558103B8070000025149|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010141|2053799558103B8050000010141|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010142|2053799558103B8050000010142|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010143|2053799558103B8050000010143|Registro OK.|
